Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
JOR; Jordan;97;;81;;70;;62;;53;;52;;52;;51;;49;;48;;47;;46;
KAZ; Kazakhstan;72;;88;;61;;43;;22;;19;;17;;14;;13;;12;;10;;10;
KEN; Kenya;728;;722;;708;;618;;432;;398;;373;;364;;358;;353;;346;;342;
KIR; Kiribati;214;;168;;136;;119;;112;;110;;107;;104;;100;;97;;94;;92;
PRK; Korea (Democratic People's Rep. of);80;;96;;139;;120;;106;;100;;96;;94;;93;;91;;90;;89;
KOR; Korea (Republic of);25;;20;;17;;15;;15;;14;;13;;13;;12;;12;;11;;11;
KWT; Kuwait;11;;10;;10;;10;;10;;10;;11;;11;;11;;11;;12;;12;
KGZ; Kyrgyzstan;74;;101;;79;;82;;79;;79;;74;;70;;69;;66;;63;;60;
LAO; Lao People's Democratic Republic;835;;682;;544;;410;;292;;272;;254;;238;;223;;209;;196;;185;
LVA; Latvia;47;;60;;34;;30;;26;;26;;23;;27;;24;;23;;26;;19;
LBN; Lebanon;50;;31;;28;;24;;23;;25;;25;;27;;28;;29;;29;;29;
LSO; Lesotho;599;;597;;614;;679;;594;;585;;586;;583;;579;;574;;559;;544;
LBR; Liberia;1180;;1430;;894;;816;;708;;694;;683;;674;;688;;691;;661;;661;
LBY; Libya;98;;77;;70;;57;;53;;56;;55;;58;;63;;70;;73;;72;
LIE; Liechtenstein;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
LTU; Lithuania;28;;29;;17;;14;;10;;10;;10;;10;;9;;9;;8;;8;
LUX; Luxembourg;12;;12;;10;;9;;8;;8;;7;;6;;6;;5;;5;;5;
MDG; Madagascar;758;;623;;559;;526;;453;;432;;413;;394;;378;;363;;348;;335;
MWI; Malawi;970;;849;;749;;610;;444;;428;;413;;396;;381;;370;;358;;349;
MYS; Malaysia;48;;43;;38;;31;;30;;30;;30;;30;;30;;30;;29;;29;
MDV; Maldives;571;;253;;125;;75;;67;;62;;60;;58;;56;;54;;54;;53;
MLI; Mali;924;;886;;836;;691;;660;;663;;663;;663;;642;;620;;590;;562;
MLT; Malta;11;;10;;9;;8;;8;;7;;7;;7;;6;;7;;6;;6;
MHL; Marshall Islands;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
MRT; Mauritania;812;;798;;834;;826;;824;;822;;812;;805;;796;;785;;777;;766;
MUS; Mauritius;88;;70;;59;;53;;66;;54;;63;;60;;70;;73;;67;;61;
MEX; Mexico;66;;57;;55;;54;;46;;43;;41;;39;;38;;36;;34;;33;
FSM; Micronesia (Federated States of);188;;172;;154;;133;;110;;106;;103;;99;;96;;95;;90;;88;
MDA; Moldova (Republic of);52;;67;;44;;34;;29;;21;;22;;21;;23;;22;;20;;19;
MNG; Mongolia;197;;206;;155;;98;;66;;59;;54;;51;;49;;47;;46;;45;
MNE; Montenegro;11;;12;;12;;9;;7;;7;;7;;6;;6;;6;;6;;6;
MAR; Morocco;302;;245;;188;;131;;92;;86;;81;;78;;76;;74;;72;;70;
MOZ; Mozambique;1410;;1110;;798;;577;;412;;389;;371;;356;;339;;318;;301;;289;
MMR; Myanmar;434;;382;;340;;299;;265;;259;;254;;251;;247;;246;;245;;250;
NAM; Namibia;317;;311;;348;;346;;266;;256;;240;;231;;223;;217;;207;;195;
NPL; Nepal;976;;743;;553;;415;;305;;285;;266;;248;;231;;236;;200;;186;
NLD; Netherlands;10;;12;;13;;11;;7;;7;;7;;6;;6;;6;;6;;5;
NZL; New Zealand;17;;15;;12;;11;;11;;10;;10;;9;;10;;10;;10;;9;
NIC; Nicaragua;244;;201;;162;;131;;112;;110;;108;;105;;103;;101;;100;;98;
NER; Niger;879;;848;;813;;755;;663;;639;;616;;594;;573;;555;;530;;509;
NGA; Nigeria;1230;;1190;;1200;;1080;;978;;972;;963;;951;;943;;931;;925;;917;
MKD; North Macedonia;16;;15;;13;;10;;8;;8;;8;;8;;8;;8;;8;;7;
NOR; Norway;7;;6;;6;;5;;4;;4;;3;;3;;3;;3;;3;;2;
OMN; Oman;26;;21;;20;;19;;18;;18;;18;;18;;18;;19;;19;;19;
PAK; Pakistan;418;;351;;286;;237;;191;;180;;173;;166;;161;;154;;143;;140;
PLW; Palau;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
PSE; Palestine, State of;111;;87;;70;;59;;45;;42;;40;;36;;37;;32;;29;;27;
PAN; Panama;111;;101;;91;;88;;79;;76;;74;;66;;60;;58;;55;;52;
PNG; Papua New Guinea;341;;274;;249;;200;;168;;166;;164;;160;;155;;151;;148;;145;
PRY; Paraguay;211;;188;;165;;137;;108;;103;;98;;94;;91;;88;;86;;84;
PER; Peru;251;;188;;144;;118;;104;;102;;100;;98;;96;;94;;91;;88;
PHL; Philippines;202;;171;;160;;156;;144;;141;;139;;136;;131;;127;;124;;121;
POL; Poland;16;;12;;7;;4;;3;;3;;3;;3;;2;;2;;2;;2;
PRT; Portugal;13;;11;;10;;9;;9;;9;;9;;8;;8;;9;;9;;8;
QTA; Qatar;17;;15;;14;;12;;10;;10;;10;;10;;10;;9;;9;;9;
ROU; Romania;128;;86;;54;;35;;27;;24;;23;;21;;21;;21;;21;;19;
RUS; Russian Federation;63;;83;;56;;42;;25;;23;;22;;20;;19;;18;;18;;17;
RWA; Rwanda;1200;;1330;;1160;;643;;373;;349;;329;;308;;291;;275;;260;;248;
KNA; Saint Kitts and Nevis;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
LCA; Saint Lucia;74;;79;;86;;83;;109;;116;;116;;108;;104;;115;;117;;117;
VCT; Saint Vincent and the Grenadines;82;;88;;80;;59;;63;;64;;71;;73;;69;;64;;67;;68;
WSM; Samoa;144;;109;;88;;72;;58;;54;;52;;48;;47;;45;;44;;43;
SMR; Sao Tome and Principe;263;;223;;179;;163;;140;;137;;134;;132;;131;;130;;130;;130;
STP; Saudi Arabia;40;;30;;24;;22;;19;;18;;18;;17;;17;;17;;17;;17;
SAU; Senegal;576;;570;;553;;519;;447;;423;;400;;381;;364;;346;;330;;315;
SEN; Serbia;13;;14;;13;;12;;12;;12;;12;;12;;12;;13;;12;;12;
SRB; Seychelles;57;;52;;53;;55;;55;;55;;55;;55;;55;;54;;54;;53;
SYC; Sierra Leone;2610;;2950;;2480;;1760;;1360;;1270;;1210;;1180;;1190;;1180;;1120;;1120;
SLE; Singapore;12;;11;;13;;13;;10;;10;;10;;9;;8;;9;;8;;8;
SGP; Slovakia;12;;9;;8;;7;;6;;6;;6;;6;;5;;6;;6;;5;
SVK; Slovenia;12;;13;;12;;10;;8;;8;;7;;7;;7;;7;;7;;7;
SVN; Solomon Islands;400;;305;;245;;188;;141;;134;;127;;122;;120;;112;;108;;104;
SLB; Somalia;1340;;1330;;1210;;1040;;985;;955;;943;;893;;878;;855;;865;;829;
ZAF; South Africa;172;;142;;160;;201;;171;;161;;143;;133;;128;;125;;122;;119;
SSD; South Sudan;2000;;1890;;1730;;1480;;1100;;1070;;1050;;1090;;1140;;1110;;1130;;1150;
ESP; Spain;6;;6;;5;;5;;4;;4;;4;;4;;4;;4;;4;;4;
LKA; Sri Lanka;80;;73;;56;;45;;38;;38;;37;;37;;36;;36;;36;;36;
SDN; Sudan;905;;769;;667;;529;;408;;390;;368;;349;;333;;320;;308;;295;
SUR; Suriname;210;;236;;221;;164;;148;;139;;134;;129;;124;;122;;121;;120;
SWE; Sweden;7;;6;;5;;5;;4;;5;;5;;5;;5;;4;;4;;4;
CHE; Switzerland;9;;9;;7;;7;;6;;6;;6;;6;;5;;5;;5;;5;
SYR; Syrian Arab Republic;42;;31;;26;;25;;27;;28;;28;;29;;30;;30;;30;;31;
TJK; Tajikistan;77;;104;;53;;32;;23;;22;;21;;20;;19;;18;;17;;17;
TZA; Tanzania (United Republic of);1030;;990;;854;;721;;644;;628;;615;;593;;574;;556;;539;;524;
THA; Thailand;38;;37;;43;;43;;42;;41;;39;;39;;38;;38;;37;;37;
TLS; Timor-Leste;1360;;1100;;745;;415;;219;;198;;185;;176;;168;;160;;152;;142;
TGO; Togo;528;;516;;489;;492;;440;;422;;410;;404;;401;;398;;395;;396;
TON; Tonga;94;;89;;77;;66;;57;;56;;56;;56;;55;;54;;53;;52;
TTO; Trinidad and Tobago;104;;93;;81;;76;;71;;72;;71;;70;;69;;68;;68;;67;
TUN; Tunisia;136;;88;;66;;51;;46;;46;;46;;46;;46;;46;;45;;43;
TUR; Turkey;66;;52;;42;;33;;24;;23;;22;;20;;19;;19;;18;;17;
TKM; Turkmenistan;68;;55;;29;;18;;10;;10;;9;;9;;8;;8;;8;;7;
